id,GPT_label,GPT_confidence,GPT_reasoning
ic3ar5b,0,Medium,"The post discusses different cannabis strains and their effects but does not explicitly mention pain, anxiety, or sleep concerns related to therapeutic use."
idrh9b6,1,High,"The post discusses lingering effects of cannabis edibles in relation to symptoms like being high for an extended period, which relates to sleep and overall cannabis effects, fitting the relevance criteria."
if275kc,0,Medium,"The post discusses cannabis consumption methods and dosage adjustments but does not mention any health concerns related to pain, anxiety, or sleep."
iprm45b,0,Low,"The post mentions sleeping through the night but does not specify cannabis use or its relation to sleep, nor does it discuss any health concerns related to sleep."
ivm6dlk,0,Low,"The post discusses a podcast about neuroscience and cannabinoid receptors in general, without explicitly mentioning or discussing cannabis use in relation to pain, anxiety, or sleep."
j0gmg7a,0,Medium,"The post discusses general health concerns and cautious attitudes toward cannabis but does not specifically mention or relate cannabis use to pain, anxiety, or sleep symptoms or effects."
j295vfb,0,Low,"The post mentions stress and sleep but does not explicitly discuss cannabis or its effects on sleep, pain, or anxiety."
jh8gaf2,1,High,"The post discusses the effects of Delta-8, a cannabis derivative, in relation to feeling high and altered sensory perception, which aligns with sleep-related effects and the potential for cannabis to induce sleep or alter sleep states."
k0qsaiw,0,Medium,"The post describes a negative physical reaction to cannabis and mentions previous use with mushrooms but does not discuss cannabis in relation to pain, anxiety, or sleep."
ka1hgpt,0,Low,"The post discusses THC's effects on the cardiovascular system and panic symptoms but does not explicitly mention or relate these effects to pain, anxiety, or sleep concerns."
kbvnzyx,1,Medium,"The post discusses dosing and tolerance in relation to cannabis use, which can be linked to managing symptoms of anxiety or sleep, fitting the relevance criteria."
ke1vuf1,1,High,"The post discusses melatonin causing intense dreams and nightmares, which are sleep-related symptoms, in the context of anxiety management, fitting the relevance criteria."
ke2zrac,0,Low,"The post discusses using a dog to reduce nightmares, which relates to sleep but does not explicitly mention cannabis or its effects on sleep, anxiety, or pain."
l1v8szk,0,Low,"The post does not mention cannabis, health concerns, or symptoms related to pain, anxiety, or sleep, making it off-topic based on the relevance criteria."
l6a37id,1,High,"The post discusses cannabis dosage and effects in relation to feeling effects and adverse reactions, which directly relates to the target conditions of pain, anxiety, or sleep."
la5agb2,0,Medium,"The post describes a negative experience with cannabis overdose but does not explicitly mention pain, anxiety, or sleep concerns related to cannabis use."
la7x8sn,0,Low,"The post mentions a tummy ache but does not specify that it is related to cannabis use or a health concern like pain, anxiety, or sleep."
lapk7oa,1,High,"The post discusses lung issues related to marijuana use, which is a health concern directly associated with cannabis and its effects on the respiratory system, fitting the relevance criteria."
lawxhg3,0,Medium,The post discusses alcohol's effects on anxiety and stress but does not mention cannabis or its relation to the target conditions.
lb24mv5,0,Low,"The post discusses breathing techniques for stress relief without explicitly mentioning cannabis or its relation to anxiety, so it does not meet the relevance criteria."
lb4jxuv,0,Low,"The post mentions ""headache"" as a side effect but does not clearly discuss cannabis in relation to pain, anxiety, or sleep concerns."
lbci0uo,1,High,"The post explicitly mentions PTSD-related nightmares and the use of prazozin, which is relevant to sleep and trauma-related symptoms."
lbczuwb,1,High,"The post discusses cannabis use in relation to sleep and dreams, mentioning that smoking before bed influences dreaming and nightmares, which aligns with the relevance criteria."
lbd9jiq,1,Medium,"The post discusses cannabis in relation to dreams, a sleep concern, specifically mentioning its effect on dream recall, which aligns with the relevance criteria."
lbf0ujr,1,High,"The post discusses long-term cannabis use and its effect on dreams, which directly relates to sleep concerns."
lbgwwad,0,Low,"The post describes physical head pressure and eye strain but does not mention cannabis, pain, anxiety, or sleep issues related to cannabis use."
leq74rv,0,Low,"The post mentions cannabis in relation to dabs and high effects but does not explicitly discuss its impact on pain, anxiety, or sleep."
lesoo1i,0,Low,"The post discusses cannabis preparation for inflammation but does not mention any specific health concerns related to pain, anxiety, or sleep."
lf3g7g4,0,Low,"The post mentions symptoms associated with cannabis overuse but does not explicitly discuss cannabis in relation to pain, anxiety, or sleep concerns."
lfhsqzd,0,Low,"The post mentions effects and tummy discomfort but does not specify that these effects are related to cannabis use for pain, anxiety, or sleep, nor does it discuss any impact on these conditions."
lfjxliu,0,Low,"The post discusses headaches and tremors but attributes them to stress and MS in relation to structural brain issues, with no mention of cannabis use or its effects on pain, anxiety, or sleep."
lg3zyzy,1,High,"The post discusses cannabis use in relation to managing life and mentions tolerance, which relates to cannabis effects on mental health and usage, fitting the relevance criteria."
lgm1pch,0,Low,"The post discusses anxiety and physical symptoms but does not mention cannabis or its relation to the symptoms, nor does it address cannabis use, effects, or withdrawal."
lgnr1x4,0,Low,"The post discusses decarboxylation of cannabis for making RSO but does not mention any health concerns related to pain, anxiety, or sleep."
lgrv49t,0,Low,"The post discusses vagus nerve stimulation and relaxation techniques without mentioning cannabis or its effects on pain, anxiety, or sleep."
lhm03ud,0,Low,"The post mentions anxiety and chest pain but does not explicitly discuss cannabis use or its effects related to pain, anxiety, or sleep."
lhsasj8,0,Low,"The post discusses vaping and binge eating but does not clearly mention cannabis or its effects related to pain, anxiety, or sleep."
liapo9x,0,Low,"The post discusses different cannabis products and their effects but does not clearly mention any impact on pain, anxiety, or sleep."
lid2lfl,0,Low,"The post does not mention cannabis, nor does it discuss any of the three targeted health concerns (pain, anxiety, sleep) or related symptoms."
lim5cim,0,Low,"The post is vague and does not explicitly mention cannabis, health concerns, or related symptoms, making it unclear if it discusses therapeutic cannabis use for pain, anxiety, or sleep."
liwt97w,1,High,"The post discusses withdrawal symptoms such as insomnia, panic attacks, and sweating, which are related to cannabis withdrawal and its impact on anxiety and sleep."
lj03uuj,0,Medium,"The post discusses sleep disturbance and emotional effects related to quitting, but does not explicitly mention cannabis or its relation to sleep, pain, or anxiety."
lj4q3ex,0,Low,"The post discusses general detox and self-care tips for withdrawal but does not explicitly mention cannabis, pain, anxiety, or sleep concerns related to cannabis use."
lj9fchl,0,Medium,"The post mentions travel aiding with withdrawals and sleep but does not explicitly discuss cannabis use, its effects, or symptoms related to pain, anxiety, or sleep concerns directly associated with cannabis."
ljffgmk,0,Medium,"The post discusses personal feelings about being high and anxiety but does not explicitly mention or relate cannabis use to pain, anxiety, or sleep concerns."
ljnsep6,0,Medium,"The post discusses exhaustion and lifestyle effects related to smoking cannabis but does not explicitly mention its impact on pain, anxiety, or sleep."
ljoyvfm,0,Low,"The post mentions feeling better and sleeping, but it does not specify any connection to cannabis, pain, anxiety, or sleep issues related to cannabis use."
ljr1avc,0,Low,"The post provides detailed information about THC's effects on the brain but does not mention any impact on pain, anxiety, or sleep, nor does it discuss cannabis use in relation to these conditions."
ljzvxye,0,Medium,"The post discusses general factors affecting energy and motivation related to cannabis use but does not explicitly mention or focus on pain, anxiety, or sleep concerns."
lk2wvwr,0,Medium,"The post discusses emotional support and therapy for sobriety but does not explicitly mention cannabis, pain, anxiety, or sleep concerns related to cannabis use."
lmbfva3,0,Low,"The post mentions cannabis and relaxation but does not explicitly discuss its effects on pain, anxiety, or sleep, nor does it mention any symptom relief or worsening related to these conditions."
lmig5xf,0,Medium,"The post discusses hospice care and breathing assistance with morphine, with only a casual, humorous mention of ""the dankest of weed"" at the end, which does not clearly relate to cannabis use for pain, anxiety, or sleep."
ln5586e,0,Medium,"The post primarily discusses personal experiences and coping mechanisms related to cannabis use and abstinence, but it does not explicitly mention or analyze cannabis's effects on pain, anxiety, or sleep."
lo4us61,1,High,"The post explicitly discusses cannabis use in relation to mental health symptoms (PTSD and depression) and mentions self-medication, which aligns with the relevance criteria for anxiety and depression-related issues."
lolvlmj,0,Medium,"The post discusses gaming and relaxation habits without explicitly mentioning cannabis use or its effects related to pain, anxiety, or sleep."
losni9t,0,Medium,"The post discusses personal struggles with mental health and addiction but does not explicitly mention or relate cannabis use to pain, anxiety, or sleep concerns."
lpguv8c,0,Low,"The post discusses personal experiences with cannabis effects and chronic illness but does not explicitly mention pain, anxiety, or sleep concerns related to cannabis use."
lpux2uh,1,Medium,"The post explicitly mentions ""anxiety"" and uses language suggesting emotional regulation, which relates to anxiety concerns, fitting the relevance criteria."
lpuyzcs,0,Low,"The post discusses general health concerns, stress, depression, and anxiety but does not mention cannabis, its use, or effects related to pain, anxiety, or sleep."
lrjynxb,0,Medium,"The post mentions vomiting and paranoia after cannabis use but does not explicitly relate these symptoms to pain, anxiety, or sleep concerns."
ls55l4n,1,Medium,"The post mentions being ""not high"" and relates it to the reward system, which can be associated with anxiety or mood symptoms influenced by cannabis use, fitting the relevance criteria."
lsob9u3,0,Low,"The post mentions cannabis dosage but does not specify any health concern related to pain, anxiety, or sleep."
ltede9r,0,Low,"The post discusses melatonin use for sleep but does not explicitly mention or relate to sleep problems caused or affected by cannabis, nor does it address cannabis in relation to sleep, anxiety, or pain."
ltekg85,0,Medium,"The post discusses quitting cannabis and its effects but does not mention any impact on pain, anxiety, or sleep."
lu1e1wu,0,Low,"The post describes an unusual experience but does not mention cannabis, pain, anxiety, or sleep issues related to cannabis use."
lu522m1,0,Medium,"The post discusses migraines and potential causes like nerve pinching but does not explicitly mention cannabis, pain, anxiety, or sleep in relation to cannabis use or effects."
lu7qt8x,0,Medium,"The post describes stimulant effects and physical symptoms but does not mention cannabis or any relation to pain, anxiety, or sleep concerns."
lvitzmx,0,Medium,"The post discusses CBD and CBN products and sleep support but does not explicitly mention cannabis in relation to sleep, anxiety, or pain, nor does it describe effects, symptoms, or therapeutic use related to those conditions."
lwfocyn,1,Medium,"The question about gummies causing headaches relates to cannabis use and a potential symptom (headache), which falls under the sleep or pain concern, making it relevant."
lwwmono,0,Low,"The post discusses anxiety and emotional struggles but does not explicitly mention cannabis, its effects, or its relation to the health concerns of pain, anxiety, or sleep."
lx2lme5,0,Low,"The post discusses cleaning a vape and experiencing anxiety after use, but it does not clearly mention cannabis's effects on pain, anxiety, or sleep, nor does it discuss cannabis-related symptoms or conditions."
lxausxk,0,Low,"The post discusses cannabis curing and drying techniques without mentioning pain, anxiety, or sleep concerns related to cannabis use."
lxlxv1x,0,Low,"The post does not clearly mention cannabis, its effects, or any relation to pain, anxiety, or sleep concerns."
u5174w,0,Low,"The post discusses hypothetical cannabis extraction and growing practices without explicitly mentioning or relating to pain, anxiety, or sleep concerns."
yyo8rj,1,High,"The post discusses how weed facilitates relaxation and inner exploration related to personal growth and understanding, aligning with the relevance criteria for sleep, anxiety, or pain."
1cx7ntt,1,High,"The post discusses the effects of THC-infused drink in relation to the user's past cannabis use, including questions about dosage equivalence and effects on anxiety or paranoia, which aligns with the relevance criteria for sleep, anxiety, or pain concerns."
1e5mxob,1,High,"The post describes a severe adverse reaction to cannabis, including hallucinations, paranoia, physical symptoms, and a near-death experience, which clearly relates to the health concerns of pain, anxiety, or sleep, specifically highlighting a dangerous reaction to cannabis use."
1ewgqr9,1,High,"The post discusses cannabis use (edibles) in relation to anxiety and the negative emotional effects experienced, indicating a clear connection to anxiety concerns."
1ex0870,1,High,"The post discusses the individual's attempt to quit cannabis after long-term use, mentions cannabis's impact on their mental health and relationship, and expresses concern about maintaining sobriety despite a partner’s ongoing use, all directly related to pain, anxiety, or sleep issues associated with cannabis use."
1eyf8nw,1,High,"The post clearly discusses long-term cannabis use, high tolerance, sleep disturbance, and concerns about withdrawal, all related to sleep and cannabis use."
1eysugl,1,Medium,"The post discusses cannabis use in relation to stress, cravings, and internal feelings during a tolerance break, which are connected to anxiety and possibly sleep, fitting the relevance criteria."
1ez44e0,1,High,"The post discusses the individual's experience with cannabis withdrawal, including symptoms like vivid dreams, depression, brain fog, depersonalization, and derealization, which are directly related to sleep, anxiety, and mood concerns associated with cannabis cessation."
1ezskm2,1,High,"The post discusses cannabis withdrawal symptoms, relapse, and the impact of cannabis use on health, which directly relates to pain, anxiety, or sleep concerns."
1ezutj9,1,High,"The post clearly discusses cannabis use in relation to a racing heart and panic attack, which are relevant to the target conditions of anxiety and physical symptoms associated with cannabis effects."
1f1ivx9,1,High,"The post clearly discusses cannabis use in relation to substance use and the desire to reduce or stop, which is directly related to managing symptoms of anxiety and mental health, fitting the relevance criteria."
1f2imps,1,High,"The post discusses improved sleep, dreams, and emotional state after quitting cannabis, directly relating to sleep and anxiety concerns."
1fbbw3k,0,Low,"The post discusses reducing cannabis use and managing consumption habits without explicitly mentioning effects on pain, anxiety, or sleep symptoms, nor discussing cannabis helping or worsening these conditions."
1fee7hh,1,High,"The post discusses cannabis withdrawal symptoms, specifically increased sleepiness and dissociation, which relate directly to sleep and anxiety concerns."
1fruslh,1,High,"The post discusses cannabis use in relation to anxiety and possibly its effects on motivation and emotional clarity, which are relevant to the specified health concerns."
1g0l6yj,1,High,"The post discusses cannabis use and its effects related to anxiety, including feelings of anxiety and fogginess, which are relevant to the specified health concern."
1g3idkt,1,Medium,"The post discusses cannabis use in relation to dental anxiety and pain management, which are related to the target conditions of anxiety and pain."
1g7v0ps,1,High,"The post discusses cannabis use in relation to health symptoms (fatigue, brain fog, sleep, and withdrawal-like effects) and questions about its impact on health, fitting the relevance criteria."
1gaf0h5,0,Medium,"The post discusses CBD use for anxiety but does not mention cannabis, THC, or any effects related to pain, sleep, or cannabis withdrawal, thus it does not meet the relevance criteria."
1gsbin0,1,High,"The post discusses cannabis use (edibles and HHC) in relation to anxiety, productivity, and health concerns, which aligns with the relevance criteria focused on pain, anxiety, or sleep."
gqrjpya,1,High,"The post discusses cannabis (decarbed shatter) use in relation to anxiety and sleep, which are among the targeted health concerns, and describes effects directly related to those conditions."
gzsbna5,1,High,"The post explicitly mentions physical side effects of cannabis withdrawal, which relates directly to the target conditions of sleep, pain (headache), and anxiety (nausea, sweating)."
h1yn2rx,1,Medium,"The post discusses THC strains causing headaches and mentions CBD as a potential remedy, which relates to cannabis effects on health symptoms, but it does not explicitly mention pain, anxiety, or sleep concerns."
headuah,1,High,"The post discusses cannabis use in relation to managing intrusive thoughts and depression, which are directly related to the target conditions of depression (a component of anxiety and mood disorders), and mentions its effects on mental health symptoms."
hhwempo,1,Medium,"The post mentions a headache occurring after dabbing, which is a symptom related to pain, one of the target conditions, and discusses cannabis use in relation to this symptom."
hrzxl65,1,High,"The post discusses severe anxiety attacks in the context of cannabis withdrawal, which aligns with the relevance criteria related to anxiety symptoms."
i3ssmzp,0,Medium,"The post discusses panic attacks and tension but does not clearly mention cannabis in relation to pain, anxiety, or sleep, nor does it specify effects of cannabis on these conditions."
i4a7jqr,0,Medium,"The post discusses panic attacks and stress but does not explicitly link cannabis use to the anxiety symptoms or mention cannabis affecting the panic attacks, thus it does not meet the criteria for relevance."
i5d6cty,1,High,"The post discusses CBG, a cannabis derivative, in relation to health concerns such as inflammation, ADHD, and digestive disorders, which aligns with the relevance criteria focusing on cannabis and health conditions like pain, anxiety, or sleep."
igvlhu5,1,High,"The post discusses cannabis-induced anxiety and a panic response, which are directly related to the target conditions of anxiety and the effects of cannabis on that condition."
itrplm0,1,High,"The post discusses the use of cannabis (edibles, THC, CBD) in relation to managing aches, pains, and insomnia, which are health concerns related to sleep and possibly anxiety, fitting the relevance criteria."
j6jpwi3,1,Medium,"The post discusses CBN and THC in relation to sleep, which aligns with the sleep concern in the relevance criteria."
j6kd1s3,0,Low,"The post discusses cannabis terpene content and usage timing without explicitly mentioning any impact on pain, anxiety, or sleep symptoms."
jc4diim,0,Medium,"The post discusses adjusting cannabis usage to manage panic but does not explicitly mention cannabis in relation to pain, anxiety, or sleep symptoms or effects."
jirrf01,1,High,"The post discusses cannabis use in relation to panic disorder, a form of anxiety, and mentions concerns about exacerbating panic attacks, fitting the relevance criteria."
jlrg1dr,0,Low,"The post discusses CBD and other remedies for THC effects but does not explicitly mention or relate to pain, anxiety, or sleep concerns."
k2ij7cc,0,Low,"The post mentions cannabis use in relation to sleep but does not explicitly discuss its effects on sleep quality, symptoms, or related health concerns, making it vague and not clearly relevant."
ke1qz9l,1,High,"The post discusses cannabis's impact on sleep, specifically mentioning THC's disruption of REM sleep and comparing it to other sleep-related treatments, which aligns with the relevance criteria for sleep."
l9cc10i,0,Medium,"The post discusses perceptions of cannabis's effect on pain but explicitly states it does not help with pain, and the mention of nausea and stomach discomfort is not directly linked to pain or the target conditions."
la58gbf,0,Medium,"The post discusses moderation and health concerns related to cannabis use but does not explicitly mention or focus on pain, anxiety, or sleep symptoms or their management."
la5mkl5,0,Low,"The post discusses pesticide poisoning symptoms related to cannabis carts but does not explicitly mention cannabis's effects on pain, anxiety, or sleep, nor does it discuss cannabis use for these conditions."
lbbfyva,1,Medium,"The post discusses dreaming in relation to cannabis use, which aligns with sleep-related effects, even though it questions the nature of the dreams, making it relevant to sleep."
ld8xqcb,1,High,The post discusses cannabis use in relation to anxiety and mentions how different THC levels and CBD/THC blends affect the user's anxiety symptoms.
ldstu20,1,High,"The post discusses cannabis dependence and withdrawal symptoms, including anxiety, sleep disturbances, and mood changes, which are directly related to the target health concerns."
lf1gnhw,0,Medium,"The post discusses general health risks and bodily reactions related to cannabinoids but does not specifically address pain, anxiety, or sleep concerns associated with cannabis use."
lgemgii,0,Low,"The post discusses different cannabis strains and personal preferences but does not explicitly mention any health concerns related to pain, anxiety, or sleep."
lgy7krq,0,Medium,"The post discusses CBG's effects and interactions with cannabinoids but does not explicitly mention pain, anxiety, or sleep concerns related to cannabis use."
liwfyy6,0,Medium,"The post discusses dreams and insomnia during cannabis withdrawal but does not explicitly mention cannabis, its effects, or related health concerns like sleep issues directly linked to cannabis use."
ljjl416,1,High,"The post explicitly mentions that weed worsens migraines, which are a type of pain, fitting the relevance criteria related to pain."
ljk5gut,0,Low,"The post discusses detox dreams and guilt related to substance use and sexual behavior but does not explicitly mention cannabis, pain, anxiety, or sleep issues related to cannabis use."
ljnpfod,1,High,"The post discusses a reaction to edibles and mentions anxiety related to cannabis use, which aligns with the relevance criteria concerning anxiety symptoms."
ljsipd3,1,High,"The post discusses nightmares and vivid dreams immediately after quitting cannabis, which relates directly to sleep symptoms associated with cannabis withdrawal."
ljtiatw,1,High,"The post discusses symptoms related to phlegm and stomach discomfort associated with smoking, which are health concerns linked to cannabis use, fitting the relevance criteria for sleep and health effects."
ljyj02o,0,Low,"The post discusses therapy, self-reflection, and nightmares but does not explicitly mention cannabis or its relation to pain, anxiety, or sleep symptoms."
lk5vgvi,0,Medium,"The post mentions day 2 and sleep issues but does not explicitly discuss cannabis use or its effects on pain, anxiety, or sleep, nor does it mention cannabis helping or worsening these conditions."
lkesoau,0,Low,"The post discusses quitting cannabis and withdrawal symptoms but does not explicitly mention or relate these effects to pain, anxiety, or sleep concerns."
lkh6t9z,0,Medium,"The post discusses managing anxiety and difficult feelings but does not explicitly mention cannabis, pain, sleep, or their effects related to health concerns."
llnq1ly,1,High,"The post discusses cannabis withdrawal symptoms related to sleep (dream recall) and mentions its potential use in PTSD, aligning with the relevance criteria for sleep and therapeutic use discussions."
lopk1xq,0,Low,"The post discusses CBD oil and potential side effects related to THC but does not explicitly mention pain, anxiety, or sleep concerns."
lou4q08,1,High,"The post discusses cannabis tolerance, withdrawal-related insomnia, and improvement in sleep after quitting, directly relating to sleep concerns."
lpej8xd,0,Low,"The post discusses CBD and THC products and their effects on mood and sleep, but does not explicitly mention or relate these to pain, anxiety, or sleep symptoms or their management."
lpp5r55,0,Low,"The post discusses various cannabinoids like CBN, CBG, and CBD, but does not clearly mention any impact on pain, anxiety, or sleep, nor does it describe therapeutic effects related to these conditions."
lqildhd,0,Medium,"The post discusses cannabis withdrawal and difficulty stopping use but does not explicitly mention pain, anxiety, or sleep concerns related to cannabis use."
ltzbs1m,1,Medium,"The post discusses cannabis use in relation to sleep and dosage variability, which aligns with the relevance criteria for sleep concerns."
lu1joxx,1,High,"The post clearly discusses sleep improvements and the return of vivid dreams after quitting cannabis, directly relating to sleep symptoms associated with cannabis use."
lu70ejo,1,Medium,"The post discusses cannabis use and its relation to dreaming, which is a sleep symptom, fitting the relevance criteria."
ludhd0x,0,Low,"The post discusses medication coverage and inflammation but does not explicitly mention cannabis or its effects on pain, anxiety, or sleep."
lufxr1i,0,Medium,"The post discusses sleep-related reactions and side effects of cannabis withdrawal but does not explicitly mention cannabis use or its effects on pain, anxiety, or sleep symptoms directly related to those conditions."
lvfb0x6,0,Medium,"The post discusses quitting cannabis and withdrawal symptoms but does not explicitly mention or relate to pain, anxiety, or sleep concerns associated with cannabis use."
lvk455u,0,Medium,"The post discusses sleep patterns and past cannabis use for sleep but does not explicitly mention current cannabis use, effects, or its impact on sleep symptoms, making it not clearly relevant based on the provided criteria."
lwbsphn,0,Low,"The post mentions cannabis dosage and sleep but does not explicitly connect these to pain, anxiety, or sleep symptoms or their effects on these conditions."
lwqc9nm,0,Medium,"The post discusses reducing cannabis use and personal experiences with withdrawal symptoms like stomach discomfort, but it does not explicitly mention or focus on cannabis in relation to pain, anxiety, or sleep concerns."
p1hcyk,1,High,"The post discusses cannabis withdrawal symptoms, specifically anxiety and paranoia, in the context of quitting, which aligns with the relevance criteria related to cannabis and anxiety."
wnmimn,1,High,"The post discusses the use of cannabis (smoking or gummies) for chronic pain and sleep issues, directly relating to the target health concerns."
10on5ay,0,Low,"The post discusses seeking information about RSO (a cannabis extract) for a cancer patient but does not mention any specific symptoms related to pain, anxiety, or sleep, nor does it discuss cannabis effects on these conditions."
10qqmr9,1,High,"The post clearly discusses cannabis use in relation to a serious health condition (liver disease) and mentions its effects on symptoms such as nausea, appetite, itching, and nerve pain, which are relevant to the target conditions (pain, anxiety, sleep)."
11hg7bn,0,Low,"The post discusses a physical reaction (stomach ache) related to vaping cannabis but does not mention any impact on pain, anxiety, or sleep symptoms."
129s7sj,1,Medium,"The post discusses stomach issues and pain, which are relevant to the target conditions, and questions whether heavy cannabis use could be related, indicating a potential link to cannabis effects on health concerns."
12jrrq6,1,High,"The post clearly discusses cannabis (specifically a 1:1 strain) in relation to sleep, noting an improvement in sleep maintenance for insomnia."
12mq2t9,1,High,"The post discusses cannabis tolerance, its effects on the endocannabinoid system, and its relation to pain and hypersomnia, which aligns with the specified health concerns of pain and sleep."
13rrzep,1,Medium,"The post discusses the user's negative experiences with cannabis, including paranoia, emotional rollercoasters, and intrusive thoughts, which are related to anxiety and mental health reactions, aligning with the relevance criteria."
141f4ki,1,Medium,"The post discusses a panic attack related to cannabis use and questions about the duration of being high, which relates to cannabis effects on anxiety and sleep-related symptoms."
14c7vx0,0,Low,"The post discusses drug testing and cannabis use for insomnia and pain but does not explicitly mention or discuss the effects, symptoms, or impact of cannabis on these conditions, which is required for relevance."
1cpbac3,1,High,"The post discusses cannabis in relation to alleviating shortness of breath caused by anxiety, which aligns with the target conditions of anxiety and sleep, indicating relevance."
1cvrgya,1,High,"The post discusses sore lymph nodes in relation to vaping and anxiety, which relates to health concerns involving cannabis use and symptoms that could be associated with anxiety or physical effects from vaping, fitting the relevance criteria."
1dq6sbz,1,High,"The post clearly discusses cannabis use in relation to a health concern (shortness of breath) and mentions ongoing symptoms potentially induced by cannabis, fitting the relevance criteria."
1dsjnrp,1,High,"The post clearly discusses withdrawal symptoms (vomiting, nausea, shakiness, panic) related to heavy cannabis use, fitting the relevance criteria for sleep, anxiety, or pain concerns."
1dxprgf,1,Medium,"The post discusses cannabis use in relation to sinus infection symptoms and questions its effectiveness during illness, which relates to the conditions of pain and possibly discomfort, fitting the relevance criteria."
1e28bti,1,High,"The post describes symptoms such as paranoia, anxiety, heart pounding, visual disturbances, and vomiting related to cannabis use, which are relevant to anxiety and sleep concerns."
1e2omxh,1,Medium,"The post discusses symptoms (dizziness, nausea, headache, sweating) related to cannabis use and questions whether they are linked to blood pressure effects, which are relevant to health concerns of anxiety, sleep, or pain, particularly as they involve physical reactions potentially induced or worsened by cannabis."
1e330fa,1,Medium,"The post discusses the use of THC/CBD topicals for muscle soreness and post-surgical recovery, which relates to pain management, one of the targeted health concerns."
1egv0tx,1,High,"The post discusses cannabis use in relation to health effects, including panic attacks, paranoia, and bodily discomfort, which are relevant to anxiety and sleep concerns."
1elwayw,1,High,"The post discusses sleep disturbances related to cannabis withdrawal, which aligns with the sleep concern in the relevance criteria."
1epnpyk,1,Medium,"The post discusses chest pain after cannabis use and mentions potential health concerns related to cannabis, which aligns with the target conditions of pain and possible adverse effects, making it relevant."
1etfbiy,1,Medium,"The post discusses cannabis strains used for sleep, a sleep-related concern, aligning with the relevance criteria."
